knowledge_id,description,summary_status,summary_chunk_id,summary_chunk_content,dimension,embedding_content
bfcaeb7c-0972-43c4-8cc9-d187a4acd654,本书为2013年出版的眼外伤临床参考书，由肖天林、吴文灿、王勤美主编，面向眼外伤医护人员及相关专业师生，汇集眼外伤临床诊断与治疗经验。全书分总论与分论：总论涵盖流行病学、定义范畴、分类分级、临床表现与诊断、治疗原则、患者特点、预后、防护、临床挑战及伤后解剖与视功能重建康复；分论系统讨论眼睑、结膜、泪小管、角膜巩膜、虹膜睫状体脉络膜、晶状体、玻璃体、视网膜及黄斑外伤，并涉及玻璃体视网膜手术、眼球穿通伤、眼内外异物、眼球破裂、前节毒性反应综合征和细菌性、真菌性外伤性眼内炎。重点关键词包括裂隙灯、B超、X线、CT、MRI、UBM、AS-OCT及黄斑OCT，外伤性白内障、晶状体脱位、玻璃体积血、视网膜脱离、硅油填充、23G/25G玻璃体切割等。,completed,bab39f27-9baa-4141-b207-29682c7386a9,"# Summary
本书为2013年出版的眼外伤临床参考书，由肖天林、吴文灿、王勤美主编，面向眼外伤医护人员及相关专业师生，汇集眼外伤临床诊断与治疗经验。全书分总论与分论：总论涵盖流行病学、定义范畴、分类分级、临床表现与诊断、治疗原则、患者特点、预后、防护、临床挑战及伤后解剖与视功能重建康复；分论系统讨论眼睑、结膜、泪小管、角膜巩膜、虹膜睫状体脉络膜、晶状体、玻璃体、视网膜及黄斑外伤，并涉及玻璃体视网膜手术、眼球穿通伤、眼内外异物、眼球破裂、前节毒性反应综合征和细菌性、真菌性外伤性眼内炎。重点关键词包括裂隙灯、B超、X线、CT、MRI、UBM、AS-OCT及黄斑OCT，外伤性白内障、晶状体脱位、玻璃体积血、视网膜脱离、硅油填充、23G/25G玻璃体切割等。",3072,"# Summary
本书为2013年出版的眼外伤临床参考书，由肖天林、吴文灿、王勤美主编，面向眼外伤医护人员及相关专业师生，汇集眼外伤临床诊断与治疗经验。全书分总论与分论：总论涵盖流行病学、定义范畴、分类分级、临床表现与诊断、治疗原则、患者特点、预后、防护、临床挑战及伤后解剖与视功能重建康复；分论系统讨论眼睑、结膜、泪小管、角膜巩膜、虹膜睫状体脉络膜、晶状体、玻璃体、视网膜及黄斑外伤，并涉及玻璃体视网膜手术、眼球穿通伤、眼内外异物、眼球破裂、前节毒性反应综合征和细菌性、真菌性外伤性眼内炎。重点关键词包括裂隙灯、B超、X线、CT、MRI、UBM、AS-OCT及黄斑OCT，外伤性白内障、晶状体脱位、玻璃体积血、视网膜脱离、硅油填充、23G/25G玻璃体切割等。"
aa450a6a-9fbd-4c29-83ae-127972482ba6,本书由贾金辰主编，2013年出版，是总结眼外伤手术经验、适应证、操作方法、术中处理与临床思考的专著，适合各级眼科医师、研究生及进修医师。全书围绕眼外伤分类、病史采集、临床检查、辅助检查及治疗原则展开，系统涉及眼睑、泪器、结膜及眼外肌、角巩膜、虹膜睫状体、前房积血、外伤性青光眼、晶状体、玻璃体视网膜、感染性眼内炎、眼内异物、眶内异物、眼眶骨折、眼球脱位、爆炸伤、化学烧伤与睑球粘连，以及义眼台植入等十八章。重点包括角膜和巩膜裂伤缝合、泪小管吻合、皮瓣与植皮重建、虹膜根部离断修复、前房穿刺及冲洗、抗青光眼手术、白内障摘除与人工晶状体植入、玻璃体切除、视网膜剥膜、硅油及膨胀气体应用、眼内异物定位与取出、眶骨折修复和计算机导航。书中还涉及X线、CT、超声、UBM、MRI等影像检查及眼内炎微生物学检查，突出显微缝合、联合手术和复杂伤情处理技巧。,completed,be131cfc-6d90-4d20-9103-6cdd22687d78,"# Summary
本书由贾金辰主编，2013年出版，是总结眼外伤手术经验、适应证、操作方法、术中处理与临床思考的专著，适合各级眼科医师、研究生及进修医师。全书围绕眼外伤分类、病史采集、临床检查、辅助检查及治疗原则展开，系统涉及眼睑、泪器、结膜及眼外肌、角巩膜、虹膜睫状体、前房积血、外伤性青光眼、晶状体、玻璃体视网膜、感染性眼内炎、眼内异物、眶内异物、眼眶骨折、眼球脱位、爆炸伤、化学烧伤与睑球粘连，以及义眼台植入等十八章。重点包括角膜和巩膜裂伤缝合、泪小管吻合、皮瓣与植皮重建、虹膜根部离断修复、前房穿刺及冲洗、抗青光眼手术、白内障摘除与人工晶状体植入、玻璃体切除、视网膜剥膜、硅油及膨胀气体应用、眼内异物定位与取出、眶骨折修复和计算机导航。书中还涉及X线、CT、超声、UBM、MRI等影像检查及眼内炎微生物学检查，突出显微缝合、联合手术和复杂伤情处理技巧。",3072,"# Summary
本书由贾金辰主编，2013年出版，是总结眼外伤手术经验、适应证、操作方法、术中处理与临床思考的专著，适合各级眼科医师、研究生及进修医师。全书围绕眼外伤分类、病史采集、临床检查、辅助检查及治疗原则展开，系统涉及眼睑、泪器、结膜及眼外肌、角巩膜、虹膜睫状体、前房积血、外伤性青光眼、晶状体、玻璃体视网膜、感染性眼内炎、眼内异物、眶内异物、眼眶骨折、眼球脱位、爆炸伤、化学烧伤与睑球粘连，以及义眼台植入等十八章。重点包括角膜和巩膜裂伤缝合、泪小管吻合、皮瓣与植皮重建、虹膜根部离断修复、前房穿刺及冲洗、抗青光眼手术、白内障摘除与人工晶状体植入、玻璃体切除、视网膜剥膜、硅油及膨胀气体应用、眼内异物定位与取出、眶骨折修复和计算机导航。书中还涉及X线、CT、超声、UBM、MRI等影像检查及眼内炎微生物学检查，突出显微缝合、联合手术和复杂伤情处理技巧。"
aa18bc40-1215-4b41-abcf-f26bb8cd5ac7,本书出版于2014年，是面向眼科、神经内科、神经外科及全科医师的神经眼科临床速查与诊断参考书，强调按解剖定位、症状体征和提纲化要点快速识别疾病。全书涵盖视野及视路定位、核上性和核间性凝视通路、眼球震颤、展神经、动眼神经和滑车神经麻痹、海绵窦综合征、瞳孔异常、视盘水肿与视神经萎缩、重症肌无力和眼肌病，以及三叉神经、面神经、眼睑、头痛、颈动脉疾病、非器质性视觉障碍、高级视觉功能障碍、神经皮肤病和神经影像。内容涉及面对面、动态、静态及Humphrey自动视野检查，Amsler方格、RAPD、OKN、黄斑回避、同向偏盲定位，以及中心暗点、弧形暗点、鼻侧阶梯、视盘水肿、青光眼、视网膜色素变性、视神经炎、垂体腺瘤、脑膜瘤、脑卒中等重要关键词，并结合病例练习强化临床思维和视路病变定位。,completed,9d6944a2-d3ab-471d-b1d9-a80f8ff76399,"# Summary
本书出版于2014年，是面向眼科、神经内科、神经外科及全科医师的神经眼科临床速查与诊断参考书，强调按解剖定位、症状体征和提纲化要点快速识别疾病。全书涵盖视野及视路定位、核上性和核间性凝视通路、眼球震颤、展神经、动眼神经和滑车神经麻痹、海绵窦综合征、瞳孔异常、视盘水肿与视神经萎缩、重症肌无力和眼肌病，以及三叉神经、面神经、眼睑、头痛、颈动脉疾病、非器质性视觉障碍、高级视觉功能障碍、神经皮肤病和神经影像。内容涉及面对面、动态、静态及Humphrey自动视野检查，Amsler方格、RAPD、OKN、黄斑回避、同向偏盲定位，以及中心暗点、弧形暗点、鼻侧阶梯、视盘水肿、青光眼、视网膜色素变性、视神经炎、垂体腺瘤、脑膜瘤、脑卒中等重要关键词，并结合病例练习强化临床思维和视路病变定位。",3072,"# Summary
本书出版于2014年，是面向眼科、神经内科、神经外科及全科医师的神经眼科临床速查与诊断参考书，强调按解剖定位、症状体征和提纲化要点快速识别疾病。全书涵盖视野及视路定位、核上性和核间性凝视通路、眼球震颤、展神经、动眼神经和滑车神经麻痹、海绵窦综合征、瞳孔异常、视盘水肿与视神经萎缩、重症肌无力和眼肌病，以及三叉神经、面神经、眼睑、头痛、颈动脉疾病、非器质性视觉障碍、高级视觉功能障碍、神经皮肤病和神经影像。内容涉及面对面、动态、静态及Humphrey自动视野检查，Amsler方格、RAPD、OKN、黄斑回避、同向偏盲定位，以及中心暗点、弧形暗点、鼻侧阶梯、视盘水肿、青光眼、视网膜色素变性、视神经炎、垂体腺瘤、脑膜瘤、脑卒中等重要关键词，并结合病例练习强化临床思维和视路病变定位。"
30a57c80-643e-4819-8135-b8279181e6c2,本书出版于2014年，是面向眼科医师的糖尿病视网膜病变临床决策与治疗实践指南，依据循证医学和随机临床试验，覆盖疾病早期至威胁视力的晚期阶段。内容围绕流行病学、危险因素与病理生理学展开，进一步讨论非增殖性糖尿病视网膜病变（NPDR）、糖尿病黄斑水肿（DME）、增殖性糖尿病视网膜病变（PDR）及晚期PDR。书中系统介绍筛查、分级、随访和治疗算法，涉及远程医疗、眼底摄影、荧光素血管造影（FA）、超声、光学相干断层扫描（OCT）、自适应光学扫描激光检眼镜、多焦视网膜电图及微视野检查；治疗涵盖血糖、血压和血脂控制、激光光凝、玻璃体腔内抗VEGF药物与糖皮质激素、全视网膜光凝，以及复杂病例的 pars plana 玻璃体切除术、膜剥除、内窥镜光凝、硅油填充和黏弹性分离，并特别关注新生血管性青光眼、牵拉性视网膜脱离和黄斑缺血。,completed,69959258-e828-492a-816a-35411a9e8517,"# Summary
本书出版于2014年，是面向眼科医师的糖尿病视网膜病变临床决策与治疗实践指南，依据循证医学和随机临床试验，覆盖疾病早期至威胁视力的晚期阶段。内容围绕流行病学、危险因素与病理生理学展开，进一步讨论非增殖性糖尿病视网膜病变（NPDR）、糖尿病黄斑水肿（DME）、增殖性糖尿病视网膜病变（PDR）及晚期PDR。书中系统介绍筛查、分级、随访和治疗算法，涉及远程医疗、眼底摄影、荧光素血管造影（FA）、超声、光学相干断层扫描（OCT）、自适应光学扫描激光检眼镜、多焦视网膜电图及微视野检查；治疗涵盖血糖、血压和血脂控制、激光光凝、玻璃体腔内抗VEGF药物与糖皮质激素、全视网膜光凝，以及复杂病例的 pars plana 玻璃体切除术、膜剥除、内窥镜光凝、硅油填充和黏弹性分离，并特别关注新生血管性青光眼、牵拉性视网膜脱离和黄斑缺血。",3072,"# Summary
本书出版于2014年，是面向眼科医师的糖尿病视网膜病变临床决策与治疗实践指南，依据循证医学和随机临床试验，覆盖疾病早期至威胁视力的晚期阶段。内容围绕流行病学、危险因素与病理生理学展开，进一步讨论非增殖性糖尿病视网膜病变（NPDR）、糖尿病黄斑水肿（DME）、增殖性糖尿病视网膜病变（PDR）及晚期PDR。书中系统介绍筛查、分级、随访和治疗算法，涉及远程医疗、眼底摄影、荧光素血管造影（FA）、超声、光学相干断层扫描（OCT）、自适应光学扫描激光检眼镜、多焦视网膜电图及微视野检查；治疗涵盖血糖、血压和血脂控制、激光光凝、玻璃体腔内抗VEGF药物与糖皮质激素、全视网膜光凝，以及复杂病例的 pars plana 玻璃体切除术、膜剥除、内窥镜光凝、硅油填充和黏弹性分离，并特别关注新生血管性青光眼、牵拉性视网膜脱离和黄斑缺血。"
1f3c5e03-bdbb-408d-97d3-aa4f1c0210f6,本书出版于2014年，是黎晓新、王景昭主编的眼科玻璃体视网膜手术高级参考书，面向眼底病及玻璃体视网膜手术临床医师、研究者和相关专业学习者。全书从手术发展史、视网膜与玻璃体的解剖生理、胚胎学、生化及病理生理入手，介绍手术器械、广角显像系统、眼内灌注液、膨胀性气体、全氟化碳液体、硅油和重硅油等玻璃体腔替代物，并系统讲述术前检查、荧光素及吲哚青绿血管造影、OCT、视觉电生理、超声、CT/MRI、激光治疗和麻醉管理。重点围绕孔源性、牵拉性、渗出性、外伤性及术后视网膜脱离，涵盖巩膜扣带术、晶状体切割、常规及微切口玻璃体切除、眼内光凝、膜剥除、视网膜切开、气液交换和硅油填充等技术；并涉及PVR、糖尿病视网膜病变、黄斑裂孔与黄斑前膜、视网膜血管炎、眼内炎、葡萄膜炎、儿童眼底病、视网膜血管增生性肿瘤、视网膜母细胞瘤、前后节联合手术、眼内镜、诊断性玻璃体切除及经玻璃体给药。,completed,5f354156-f971-428e-82f4-32e314e33958,"# Summary
本书出版于2014年，是黎晓新、王景昭主编的眼科玻璃体视网膜手术高级参考书，面向眼底病及玻璃体视网膜手术临床医师、研究者和相关专业学习者。全书从手术发展史、视网膜与玻璃体的解剖生理、胚胎学、生化及病理生理入手，介绍手术器械、广角显像系统、眼内灌注液、膨胀性气体、全氟化碳液体、硅油和重硅油等玻璃体腔替代物，并系统讲述术前检查、荧光素及吲哚青绿血管造影、OCT、视觉电生理、超声、CT/MRI、激光治疗和麻醉管理。重点围绕孔源性、牵拉性、渗出性、外伤性及术后视网膜脱离，涵盖巩膜扣带术、晶状体切割、常规及微切口玻璃体切除、眼内光凝、膜剥除、视网膜切开、气液交换和硅油填充等技术；并涉及PVR、糖尿病视网膜病变、黄斑裂孔与黄斑前膜、视网膜血管炎、眼内炎、葡萄膜炎、儿童眼底病、视网膜血管增生性肿瘤、视网膜母细胞瘤、前后节联合手术、眼内镜、诊断性玻璃体切除及经玻璃体给药。",3072,"# Summary
本书出版于2014年，是黎晓新、王景昭主编的眼科玻璃体视网膜手术高级参考书，面向眼底病及玻璃体视网膜手术临床医师、研究者和相关专业学习者。全书从手术发展史、视网膜与玻璃体的解剖生理、胚胎学、生化及病理生理入手，介绍手术器械、广角显像系统、眼内灌注液、膨胀性气体、全氟化碳液体、硅油和重硅油等玻璃体腔替代物，并系统讲述术前检查、荧光素及吲哚青绿血管造影、OCT、视觉电生理、超声、CT/MRI、激光治疗和麻醉管理。重点围绕孔源性、牵拉性、渗出性、外伤性及术后视网膜脱离，涵盖巩膜扣带术、晶状体切割、常规及微切口玻璃体切除、眼内光凝、膜剥除、视网膜切开、气液交换和硅油填充等技术；并涉及PVR、糖尿病视网膜病变、黄斑裂孔与黄斑前膜、视网膜血管炎、眼内炎、葡萄膜炎、儿童眼底病、视网膜血管增生性肿瘤、视网膜母细胞瘤、前后节联合手术、眼内镜、诊断性玻璃体切除及经玻璃体给药。"
37b5d83a-b69c-4d5e-9fa7-bc7c91a842ac,本书出版于2017年，是2011年出版的全国高等学校眼视光学专业规划教材，面向眼视光学专业学生及临床眼视光医师，是连接基础理论与临床实践、训练规范化检查和诊疗思维的核心课程教材。全书以“全面、全程眼睛保健医疗”为主线，涵盖临床概述、病史采集与问题分析、视力及视力表、眼部健康检查、屈光与屈光不正、客观和主觉验光、调节与双眼视功能、老视、视野、色觉、立体视觉、瞳孔及特殊视觉功能、眼球像差等内容，并以病例分析讨论儿童近视、低度屈光不正、远视、散光、屈光参差、老视和高度近视。重点涉及裂隙灯、角膜曲率和角膜地形图、前房角镜、UBM、Goldmann压平眼压计、检眼镜、检影验光、电脑验光、综合验光仪及波前像差检查，同时介绍框架眼镜、接触镜和老视手术等矫正处理。,completed,641d7597-98cd-40bd-9606-a7e76a5818e2,"# Summary
本书出版于2017年，是2011年出版的全国高等学校眼视光学专业规划教材，面向眼视光学专业学生及临床眼视光医师，是连接基础理论与临床实践、训练规范化检查和诊疗思维的核心课程教材。全书以“全面、全程眼睛保健医疗”为主线，涵盖临床概述、病史采集与问题分析、视力及视力表、眼部健康检查、屈光与屈光不正、客观和主觉验光、调节与双眼视功能、老视、视野、色觉、立体视觉、瞳孔及特殊视觉功能、眼球像差等内容，并以病例分析讨论儿童近视、低度屈光不正、远视、散光、屈光参差、老视和高度近视。重点涉及裂隙灯、角膜曲率和角膜地形图、前房角镜、UBM、Goldmann压平眼压计、检眼镜、检影验光、电脑验光、综合验光仪及波前像差检查，同时介绍框架眼镜、接触镜和老视手术等矫正处理。",3072,"# Summary
本书出版于2017年，是2011年出版的全国高等学校眼视光学专业规划教材，面向眼视光学专业学生及临床眼视光医师，是连接基础理论与临床实践、训练规范化检查和诊疗思维的核心课程教材。全书以“全面、全程眼睛保健医疗”为主线，涵盖临床概述、病史采集与问题分析、视力及视力表、眼部健康检查、屈光与屈光不正、客观和主觉验光、调节与双眼视功能、老视、视野、色觉、立体视觉、瞳孔及特殊视觉功能、眼球像差等内容，并以病例分析讨论儿童近视、低度屈光不正、远视、散光、屈光参差、老视和高度近视。重点涉及裂隙灯、角膜曲率和角膜地形图、前房角镜、UBM、Goldmann压平眼压计、检眼镜、检影验光、电脑验光、综合验光仪及波前像差检查，同时介绍框架眼镜、接触镜和老视手术等矫正处理。"
e3aa3736-e297-47cd-804a-87789c5cca51,本书2014年出版，定位为基于高度原理的角膜地形图与Scheimpflug断层成像教材，适合眼科医师、视光医师及从事角膜、屈光和眼前节手术的临床与科研人员。全书系统介绍角膜地形图、角膜曲率计、角膜镜、Placido盘、摄像角膜地形图及Pentacam的发展，阐释高度数据、拟合参考面、角膜厚度和正常值的显示与解读，并讲解筛查设置、Belin/Ambrósio增强型早期圆锥筛查、角膜扩张和圆锥角膜检测。内容覆盖非对称性圆锥角膜、LASIK术后角膜扩张、角膜厚度评估、Scheimpflug影像临床应用、人工晶状体屈光力计算、原发性闭角型青光眼、高端人工晶状体手术角膜光学质量及Pentacam在白内障中的应用，涉及散光、角膜屈光力、前后表面高度图、前房参数、角膜像差、晶状体密度、白内障超声乳化、屈光手术术前筛查与术后评估等关键词。,completed,6f31a611-1ce9-4988-a321-6773fc5fd105,"# Summary
本书2014年出版，定位为基于高度原理的角膜地形图与Scheimpflug断层成像教材，适合眼科医师、视光医师及从事角膜、屈光和眼前节手术的临床与科研人员。全书系统介绍角膜地形图、角膜曲率计、角膜镜、Placido盘、摄像角膜地形图及Pentacam的发展，阐释高度数据、拟合参考面、角膜厚度和正常值的显示与解读，并讲解筛查设置、Belin/Ambrósio增强型早期圆锥筛查、角膜扩张和圆锥角膜检测。内容覆盖非对称性圆锥角膜、LASIK术后角膜扩张、角膜厚度评估、Scheimpflug影像临床应用、人工晶状体屈光力计算、原发性闭角型青光眼、高端人工晶状体手术角膜光学质量及Pentacam在白内障中的应用，涉及散光、角膜屈光力、前后表面高度图、前房参数、角膜像差、晶状体密度、白内障超声乳化、屈光手术术前筛查与术后评估等关键词。",3072,"# Summary
本书2014年出版，定位为基于高度原理的角膜地形图与Scheimpflug断层成像教材，适合眼科医师、视光医师及从事角膜、屈光和眼前节手术的临床与科研人员。全书系统介绍角膜地形图、角膜曲率计、角膜镜、Placido盘、摄像角膜地形图及Pentacam的发展，阐释高度数据、拟合参考面、角膜厚度和正常值的显示与解读，并讲解筛查设置、Belin/Ambrósio增强型早期圆锥筛查、角膜扩张和圆锥角膜检测。内容覆盖非对称性圆锥角膜、LASIK术后角膜扩张、角膜厚度评估、Scheimpflug影像临床应用、人工晶状体屈光力计算、原发性闭角型青光眼、高端人工晶状体手术角膜光学质量及Pentacam在白内障中的应用，涉及散光、角膜屈光力、前后表面高度图、前房参数、角膜像差、晶状体密度、白内障超声乳化、屈光手术术前筛查与术后评估等关键词。"
9291bd82-f86c-4972-b077-b74fa88ede46,本书出版于2025年。本书出版于2016年，系统总结结膜松弛症及相关眼表疾病研究，定位于眼科及相关专业医护人员学习、临床诊疗与科研参考。全书涵盖结膜、泪液、泪道和眼睑的解剖生理及疾病进展，结膜松弛症流行病学、发病机制、基质金属蛋白酶、炎性因子、氧化应激与免疫反应研究，临床表现、诊断、鉴别诊断及分级标准。重点介绍泪液功能检查、泪膜破裂时间、结膜印迹细胞学、结膜活体检查、OCT及99mTc-SPECT动态显像等检查与影像技术，并论述药物治疗、中医药治疗及护理。手术部分涉及结膜新月形切除、双极电凝、结膜缝线固定、下睑缘高张力减弱、半月皱襞切除、羊膜移植、角膜缘结膜梯形切除、定量定位切除及纤维蛋白胶应用，附上海市诊断治疗规范及相关文献目录。,completed,d1327017-24d9-4be7-8e24-cb87260ce4b9,"# Summary
本书出版于2025年。本书出版于2016年，系统总结结膜松弛症及相关眼表疾病研究，定位于眼科及相关专业医护人员学习、临床诊疗与科研参考。全书涵盖结膜、泪液、泪道和眼睑的解剖生理及疾病进展，结膜松弛症流行病学、发病机制、基质金属蛋白酶、炎性因子、氧化应激与免疫反应研究，临床表现、诊断、鉴别诊断及分级标准。重点介绍泪液功能检查、泪膜破裂时间、结膜印迹细胞学、结膜活体检查、OCT及99mTc-SPECT动态显像等检查与影像技术，并论述药物治疗、中医药治疗及护理。手术部分涉及结膜新月形切除、双极电凝、结膜缝线固定、下睑缘高张力减弱、半月皱襞切除、羊膜移植、角膜缘结膜梯形切除、定量定位切除及纤维蛋白胶应用，附上海市诊断治疗规范及相关文献目录。",3072,"# Summary
本书出版于2025年。本书出版于2016年，系统总结结膜松弛症及相关眼表疾病研究，定位于眼科及相关专业医护人员学习、临床诊疗与科研参考。全书涵盖结膜、泪液、泪道和眼睑的解剖生理及疾病进展，结膜松弛症流行病学、发病机制、基质金属蛋白酶、炎性因子、氧化应激与免疫反应研究，临床表现、诊断、鉴别诊断及分级标准。重点介绍泪液功能检查、泪膜破裂时间、结膜印迹细胞学、结膜活体检查、OCT及99mTc-SPECT动态显像等检查与影像技术，并论述药物治疗、中医药治疗及护理。手术部分涉及结膜新月形切除、双极电凝、结膜缝线固定、下睑缘高张力减弱、半月皱襞切除、羊膜移植、角膜缘结膜梯形切除、定量定位切除及纤维蛋白胶应用，附上海市诊断治疗规范及相关文献目录。"
5a45d1d8-694f-40b9-b197-308ff204fafb,本书为2014年出版的儿童白内障专著，主要面向临床眼科医师、研究生，也可供相关医学专业医师参考。全书围绕儿童白内障的诊疗展开：先介绍儿童眼球解剖、生长发育及神经视觉发育，继而讨论先天性白内障的遗传学、病因、发病机制、遗传方式、晶状体蛋白与相关基因，以及家系调查、突变研究、基因定位、外显子测序和遗传咨询。检查部分涵盖全麻检查、儿童视力、检影验光、裂隙灯、眼压、前房角、眼球生物测量、眼部B超及UBM。重点讲解人工晶状体度数计算与选择、术后屈光矫正、无晶状体眼处理、弱视训练和长期随访；系统阐述先天性白内障的分类、形态、手术时机与适应证、超声乳化、IOL植入、后囊膜连续环形撕囊（PCCC）、前段玻璃体切除、围术期抗炎抗感染及并发症处理，包括后囊膜混浊、继发膜、IOL移位、青光眼、视网膜脱离和黄斑囊样水肿。末章介绍儿童外伤性白内障的病因、分类、检查与治疗。,completed,1fd4f221-2107-45ed-9eb5-3baea0e45c92,"# Summary
本书为2014年出版的儿童白内障专著，主要面向临床眼科医师、研究生，也可供相关医学专业医师参考。全书围绕儿童白内障的诊疗展开：先介绍儿童眼球解剖、生长发育及神经视觉发育，继而讨论先天性白内障的遗传学、病因、发病机制、遗传方式、晶状体蛋白与相关基因，以及家系调查、突变研究、基因定位、外显子测序和遗传咨询。检查部分涵盖全麻检查、儿童视力、检影验光、裂隙灯、眼压、前房角、眼球生物测量、眼部B超及UBM。重点讲解人工晶状体度数计算与选择、术后屈光矫正、无晶状体眼处理、弱视训练和长期随访；系统阐述先天性白内障的分类、形态、手术时机与适应证、超声乳化、IOL植入、后囊膜连续环形撕囊（PCCC）、前段玻璃体切除、围术期抗炎抗感染及并发症处理，包括后囊膜混浊、继发膜、IOL移位、青光眼、视网膜脱离和黄斑囊样水肿。末章介绍儿童外伤性白内障的病因、分类、检查与治疗。",3072,"# Summary
本书为2014年出版的儿童白内障专著，主要面向临床眼科医师、研究生，也可供相关医学专业医师参考。全书围绕儿童白内障的诊疗展开：先介绍儿童眼球解剖、生长发育及神经视觉发育，继而讨论先天性白内障的遗传学、病因、发病机制、遗传方式、晶状体蛋白与相关基因，以及家系调查、突变研究、基因定位、外显子测序和遗传咨询。检查部分涵盖全麻检查、儿童视力、检影验光、裂隙灯、眼压、前房角、眼球生物测量、眼部B超及UBM。重点讲解人工晶状体度数计算与选择、术后屈光矫正、无晶状体眼处理、弱视训练和长期随访；系统阐述先天性白内障的分类、形态、手术时机与适应证、超声乳化、IOL植入、后囊膜连续环形撕囊（PCCC）、前段玻璃体切除、围术期抗炎抗感染及并发症处理，包括后囊膜混浊、继发膜、IOL移位、青光眼、视网膜脱离和黄斑囊样水肿。末章介绍儿童外伤性白内障的病因、分类、检查与治疗。"
de0ce752-7f23-49f9-b602-7b369f0f6e89,本书出版于2009年，是法国眼科学会年度报告，面向眼科医师、视网膜专科医师及需要掌握AMD影像诊断与随访的临床人员。全书围绕OCT在年龄相关性黄斑变性中的应用展开：先介绍时域OCT、频域/谱域OCT及OCT/SLO的原理、检查技术、三维成像、图像分割、脉络膜与外层视网膜显示、微视野检查和主要设备；继而讲解正常黄斑及视网膜色素上皮（RPE）的OCT判读，并与眼底照相、荧光素血管造影、吲哚菁绿血管造影和自发荧光对照。正文结合大量病例分析AMD的临床表现、自然史和治疗后随访，涵盖玻璃膜疣、浆液性及纤维血管性色素上皮脱离、视网膜下液、囊样黄斑水肿、出血、地图样萎缩、干性AMD，以及经典、隐匿性和混合型脉络膜新生血管、视网膜脉络膜吻合和息肉样脉络膜血管病变。书中还讨论激光光凝、光动力疗法、抗血管生成治疗、联合治疗及注射后OCT监测、复发判断和再治疗标准，并总结OCT在渗出、瘢痕、纤维化、萎缩和光感受器损伤评估中的价值与局限。,completed,dc139f0c-0d00-42dc-ae31-6e67831d845a,"# Summary
本书出版于2009年，是法国眼科学会年度报告，面向眼科医师、视网膜专科医师及需要掌握AMD影像诊断与随访的临床人员。全书围绕OCT在年龄相关性黄斑变性中的应用展开：先介绍时域OCT、频域/谱域OCT及OCT/SLO的原理、检查技术、三维成像、图像分割、脉络膜与外层视网膜显示、微视野检查和主要设备；继而讲解正常黄斑及视网膜色素上皮（RPE）的OCT判读，并与眼底照相、荧光素血管造影、吲哚菁绿血管造影和自发荧光对照。正文结合大量病例分析AMD的临床表现、自然史和治疗后随访，涵盖玻璃膜疣、浆液性及纤维血管性色素上皮脱离、视网膜下液、囊样黄斑水肿、出血、地图样萎缩、干性AMD，以及经典、隐匿性和混合型脉络膜新生血管、视网膜脉络膜吻合和息肉样脉络膜血管病变。书中还讨论激光光凝、光动力疗法、抗血管生成治疗、联合治疗及注射后OCT监测、复发判断和再治疗标准，并总结OCT在渗出、瘢痕、纤维化、萎缩和光感受器损伤评估中的价值与局限。",3072,"# Summary
本书出版于2009年，是法国眼科学会年度报告，面向眼科医师、视网膜专科医师及需要掌握AMD影像诊断与随访的临床人员。全书围绕OCT在年龄相关性黄斑变性中的应用展开：先介绍时域OCT、频域/谱域OCT及OCT/SLO的原理、检查技术、三维成像、图像分割、脉络膜与外层视网膜显示、微视野检查和主要设备；继而讲解正常黄斑及视网膜色素上皮（RPE）的OCT判读，并与眼底照相、荧光素血管造影、吲哚菁绿血管造影和自发荧光对照。正文结合大量病例分析AMD的临床表现、自然史和治疗后随访，涵盖玻璃膜疣、浆液性及纤维血管性色素上皮脱离、视网膜下液、囊样黄斑水肿、出血、地图样萎缩、干性AMD，以及经典、隐匿性和混合型脉络膜新生血管、视网膜脉络膜吻合和息肉样脉络膜血管病变。书中还讨论激光光凝、光动力疗法、抗血管生成治疗、联合治疗及注射后OCT监测、复发判断和再治疗标准，并总结OCT在渗出、瘢痕、纤维化、萎缩和光感受器损伤评估中的价值与局限。"
